Date,Berri 1,Brébeuf (données non disponibles),Côte-Sainte-Catherine,Maisonneuve 1,Maisonneuve 2,du Parc,Pierre-Dupuy,Rachel1,St-Urbain (données non disponibles)
2012-12-10,3169,,1460,2261,4045,2564,448,3224,
2012-12-06,3361,,1556,2362,4230,2381,589,3030,
2012-02-24,243,,4,187,313,137,4,13,
2012-06-18,5921,,2703,3582,6824,3960,2455,5496,
2012-11-03,380,,60,253,540,289,0,285,
2012-10-24,3744,,1868,2625,4900,3035,649,3622,
2012-10-13,1783,,802,1205,2113,1183,681,2309,
2012-06-28,6064,,2381,4411,6864,3523,2415,5175,
2012-12-05,3854,,1457,2429,3894,1805,2268,4855,
2012-10-17,4098,,1964,2645,4836,3063,728,3834,
2012-04-25,2966,,1023,2228,3444,1800,445,2454,
2012-07-16,4827,,2092,3141,6049,2965,1703,4379,
2012-09-04,828,,298,560,1048,605,65,1001,
2012-03-21,2829,,1558,1893,3510,2225,993,2846,
2012-02-18,220,,1,159,280,134,30,0,
2012-07-21,5092,,1419,2957,4658,1821,3835,4848,
2012-01-24,299,,1,189,444,174,4,0,
2012-10-25,3735,,1815,2528,5010,3017,631,3767,
2012-02-05,3724,,1677,2885,4731,2508,876,3501,
2012-09-05,3297,,1545,2700,4343,2340,737,3129,
2012-11-05,4639,,1803,3663,5713,2888,1260,4499,
2012-02-17,332,,3,237,496,260,11,1,
2012-05-05,3492,,1366,2106,3696,1779,1677,4108,
2012-09-15,3341,,1100,1900,3099,1593,1268,3426,
2012-08-07,4756,,1497,2407,4495,2089,4386,5535,
2012-08-22,6529,,2671,4513,7065,3774,2391,5154,
2012-01-05,1986,,815,1722,2766,1516,195,1960,
2012-04-21,533,,212,398,710,408,50,755,
2012-06-08,5240,,2277,3193,6375,3187,2274,4604,
2012-06-19,5382,,2360,3447,6679,3438,1711,5015,
2012-08-02,271,,0,202,503,215,4,1,
2012-01-13,75,,0,41,105,64,2,0,
2012-03-18,1940,,856,1036,1923,1021,1128,2477,
2012-10-23,4177,,1997,2795,5216,3233,795,3554,
2012-05-19,4732,,1454,2807,4673,1966,2914,5293,
2012-06-29,5770,,1935,4004,6656,3090,2109,5332,
2012-09-28,4652,,2134,3209,5372,3309,1133,4361,
2012-06-06,6037,,2724,4273,7822,3987,1223,5269,
2012-10-27,1857,,792,1244,2461,1193,618,2471,
2012-10-06,5112,,1812,2905,4798,2328,1833,6170,
2012-05-29,3154,,1184,2325,3904,1933,475,2731,
2012-09-30,876,,359,513,957,520,133,1162,
2012-08-13,4931,,2298,3124,5936,3151,2090,4842,
2012-10-01,397,,3,238,563,275,18,241,
2012-09-17,5299,,2658,3670,6582,4076,1704,4788,
2012-08-26,3964,,1318,2118,3558,1750,2932,4536,
2012-04-05,2511,,1163,2058,3717,1823,380,2631,
2012-01-27,91,,5,79,204,65,0,0,
2012-09-29,1896,,755,1206,1963,1062,442,2267,
2012-05-11,2247,,1170,1705,3221,2143,179,2430,
2012-06-25,2245,,1077,1374,3031,1440,1349,3283,
2012-04-04,2211,,933,1674,2956,1666,274,2242,
2012-09-22,1521,,656,1073,1682,971,365,1974,
2012-10-16,3739,,1858,2684,4681,2997,554,3593,
2012-03-28,435,,179,329,709,486,28,529,
2012-11-01,273,,0,182,443,258,12,194,
2012-04-11,966,,446,710,1277,692,197,1374,
2012-05-04,2424,,1036,1823,3273,1699,355,2463,
2012-03-13,442,,145,321,769,425,0,325,
2012-07-30,5225,,2285,2975,6219,3196,2564,5100,
2012-04-16,3643,,1841,2723,4830,2677,1061,3616,
2012-04-29,1970,,765,1212,2077,1062,702,2493,
2012-11-08,2453,,815,1589,2628,1043,1340,2608,
2012-01-09,3934,,1225,2371,3917,1887,2801,3845,
2012-08-10,1854,,880,987,1818,1040,1115,2502,
2012-06-13,6180,,2792,4374,7297,3825,1968,5887,
2012-09-08,4127,,1802,2601,5377,2656,1471,3636,
2012-07-04,1208,,494,739,1445,709,598,1566,
2012-04-26,2751,,1069,2196,3546,1789,381,2438,
2012-03-20,2481,,1261,1709,3130,1955,762,2609,
2012-07-02,316,,0,209,516,225,9,0,
2012-03-05,3698,,1618,3001,4943,2577,731,3603,
2012-05-17,5351,,2441,4182,6551,3408,1631,4988,
2012-08-20,5335,,2474,3521,6088,3332,1439,5201,
2012-10-26,4290,,1987,2754,5246,3000,1456,4578,
2012-06-26,3327,,1435,2139,4318,2193,620,3223,
2012-05-22,2315,,938,1847,2599,1610,251,2069,
2012-09-27,5119,,2288,3465,5983,3704,1152,4598,
2012-02-07,4144,,1397,2658,3998,1883,2783,4464,
2012-07-31,5415,,2185,3145,6705,3222,2505,4468,
