Date,Berri 1,Brébeuf (données non disponibles),Côte-Sainte-Catherine,Maisonneuve 1,Maisonneuve 2,du Parc,Pierre-Dupuy,Rachel1,St-Urbain (données non disponibles)
2012-07-06,6246,,2607,4670,8222,3972,1019,5724,
2012-09-18,2530,,1277,1695,3254,2275,388,2377,
2012-07-24,5243,,2318,3465,6721,3317,2170,4694,
2012-06-22,5398,,1934,3612,6659,3252,2009,5263,
2012-12-04,3064,,1483,2306,4076,2280,590,3213,
2012-05-06,5842,,2721,3927,7302,3786,1232,5348,
2012-07-10,1580,,660,922,1629,860,695,2052,
2012-09-15,3341,,1100,1900,3099,1593,1268,3426,
2012-03-17,681,,287,422,872,468,334,1008,
2012-01-18,139,,0,66,188,68,3,0,
2012-01-19,191,,1,104,248,79,3,0,
2012-06-30,4738,,1359,3007,4226,1822,2870,4527,
2012-09-24,4553,,2246,3117,5738,3705,1100,4683,
2012-04-22,1853,,487,1224,1331,654,198,1779,
2012-04-29,1970,,765,1212,2077,1062,702,2493,
2012-04-14,2890,,1072,1639,2994,1594,1284,3428,
2012-04-06,2717,,1408,2095,4276,2168,333,3090,
2012-09-06,5164,,1672,3418,5557,2451,1551,6026,
2012-06-21,5183,,2195,3297,6684,3272,2265,4957,
2012-08-16,6062,,2538,3898,6549,3366,1549,4943,
2012-02-08,5715,,2361,3340,6956,3329,2643,4828,
2012-08-08,5498,,2313,3365,6862,3403,2226,4771,
2012-10-22,3650,,1819,2495,4800,3023,757,3721,
2012-07-09,6186,,2720,4153,7323,3886,2051,6104,
2012-03-06,2755,,1897,2020,3768,2324,1312,4936,
2012-06-17,4638,,1552,2082,4108,2020,3453,5128,
2012-10-06,5112,,1812,2905,4798,2328,1833,6170,
2012-07-27,5759,,1948,3658,6851,3275,2653,5295,
2012-09-03,371,,8,279,575,268,8,38,
2012-08-09,2155,,1192,1467,2739,898,801,2626,
2012-01-31,186,,1,109,324,122,0,0,
2012-04-26,2751,,1069,2196,3546,1789,381,2438,
2012-08-23,5437,,2482,3807,6773,3573,1864,5010,
2012-04-15,2554,,1210,1637,2954,1559,1846,3604,
2012-10-05,2755,,1227,2130,4056,2075,399,2437,
2012-07-01,98,,2,80,108,53,6,54,
2012-02-17,332,,3,237,496,260,11,1,
2012-02-09,3698,,1232,2093,3827,1788,2959,4247,
2012-06-02,248,,1,136,425,167,10,0,
2012-01-04,662,,341,442,824,471,168,1086,
2012-11-01,273,,0,182,443,258,12,194,
2012-06-23,3753,,1326,1842,3992,1910,2585,4824,
2012-07-04,1208,,494,739,1445,709,598,1566,
2012-03-02,174,,1,103,301,111,1,1,
2012-05-20,5255,,1663,2730,4462,2182,4241,5539,
2012-11-04,2328,,1049,1765,3122,1843,330,2311,
2012-05-24,6485,,2653,4600,7600,3792,2062,5209,
2012-03-08,5577,,1915,3306,6427,2789,3195,5031,
2012-05-29,3154,,1184,2325,3904,1933,475,2731,
2012-03-23,2115,,1143,1512,2955,1791,663,2325,
2012-04-20,2087,,800,1529,2922,1531,170,2065,
2012-08-20,5335,,2474,3521,6088,3332,1439,5201,
2012-09-26,3948,,1873,2720,4755,3119,650,3721,
2012-04-03,107,,2,79,138,60,15,0,
2012-01-06,6097,,2604,4110,7175,3895,1692,6595,
2012-03-04,2416,,1078,1791,3556,1880,513,2450,
2012-06-01,146,,0,98,244,86,4,75,
2012-08-13,4931,,2298,3124,5936,3151,2090,4842,
2012-04-18,3570,,1751,2759,4655,2534,706,3542,
2012-07-22,4971,,1238,2683,4104,1788,2960,4787,
2012-07-08,5997,,2410,3622,6840,3480,2780,4903,
2012-08-27,4314,,2273,3098,5196,2762,1010,3598,
2012-07-31,5415,,2185,3145,6705,3222,2505,4468,
2012-02-01,83,,1,68,153,53,6,43,
2012-05-04,2424,,1036,1823,3273,1699,355,2463,
2012-03-19,1821,,1024,1278,2581,1609,506,2058,
2012-06-10,1304,,469,933,1589,776,236,1775,
2012-07-18,6180,,2589,3750,7311,3654,2813,5884,
2012-05-02,72,,0,46,133,54,7,0,
2012-09-01,244,,2,165,432,198,12,173,
2012-09-16,3635,,1231,1614,3040,1852,2348,3696,
2012-04-30,3610,,1572,2825,4675,2446,851,3541,
2012-08-05,1241,,625,991,1729,1007,119,1383,
2012-02-23,397,,10,293,528,329,22,13,
2012-03-16,423,,149,305,695,419,9,422,
2012-06-28,6064,,2381,4411,6864,3523,2415,5175,
2012-07-02,316,,0,209,516,225,9,0,
2012-01-21,53,,0,47,70,32,1,0,
2012-08-14,5333,,2322,3571,6332,3260,1456,4362,
2012-02-25,62,,0,48,52,18,2,5,
2012-02-18,220,,1,159,280,134,30,0,
2012-05-05,3492,,1366,2106,3696,1779,1677,4108,
2012-04-21,533,,212,398,710,408,50,755,
2012-06-15,7077,,2469,4999,7663,4053,2293,6491,
2012-05-23,5974,,2650,4407,7281,3737,1826,4798,
2012-01-27,91,,5,79,204,65,0,0,
2012-06-14,6908,,2978,4809,7934,4223,2386,6243,
2012-12-07,6179,,2371,3772,7200,3687,2433,5140,
2012-01-13,75,,0,41,105,64,2,0,
2012-08-03,348,,6,238,530,270,9,9,
2012-12-08,3995,,1338,1937,3427,1719,2988,4178,
2012-06-05,3411,,1525,1815,3346,1879,2036,4633,
2012-08-19,4644,,1408,2605,3780,1758,1683,4478,
2012-06-18,5921,,2703,3582,6824,3960,2455,5496,
2012-01-01,35,,0,38,51,26,10,16,
2012-05-28,4268,,1962,3449,5798,2898,1027,3894,
2012-05-25,5697,,2205,4096,6734,3341,1953,5174,
